,permit_number,business_name,issued_date,expiration_date,address,latitude,longitude
322,1144328,SOFI LLC,06/01/2020,05/31/2021,616 S DEARBORN ST,41.87423458,-87.62935644299999
323,1144329,PARLAY AT JOY DISTRICT,07/09/2020,05/31/2021,112-14 W HUBBARD ST,41.890123005,-87.631684597
324,1144331,THE SMITH,02/25/2020,05/31/2021,400-406 N CLARK ST,41.889249801999995,-87.63120782
325,1144333,MASTRO'S STEAKHOUSE,06/17/2020,05/31/2021,520 N DEARBORN ST,41.891601285,-87.629796705
326,1144335,ODA MEDITERRANEAN CUISINE,06/12/2020,05/31/2021,5657-5659 N CLARK ST,41.984972169,-87.668928513
327,1144336,Max and Issy's,03/13/2020,05/31/2021,1028 W DIVERSEY PKWY,41.932726771,-87.655041776
328,1144337,LONGMAN & EAGLE,03/05/2020,05/31/2021,2657 N KEDZIE AVE,41.930126115,-87.707230807
329,1144338,GOLDEN TEARDROPS & LONESOME ROSE,03/13/2020,05/31/2021,2101-2103 N CALIFORNIA AVE,41.919646930999996,-87.69711566299999
330,1144341,Schubas Tavern,06/02/2020,05/31/2021,3153 - 3159 N SOUTHPORT AVE,41.939533581,-87.663666194
331,1144342,OLD PUEBLO CANTINA,05/13/2020,05/31/2021,1200-02 W WEBSTER AVE,41.921770491,-87.658398202
332,1144344,JOYS,06/19/2020,05/31/2021,3257-59 N BROADWAY,41.941712903,-87.644306336
333,1144345,JOHN'S PLACE,03/04/2020,05/31/2021,2132 W ROSCOE ST,41.943280795,-87.682152982
334,1144347,KAISER TIGER,02/28/2020,05/31/2021,1415 W RANDOLPH ST,41.884048725,-87.663056133
335,1144348,LOU MALNATI'S PIZZERIA,03/13/2020,05/31/2021,439 N WELLS ST,41.890314055,-87.633889126
336,1144349,LE NOCTURNE,06/26/2020,05/31/2021,4810 N BROADWAY,41.969357482,-87.65982656899999
337,1144350,EDISON PARK INN,03/17/2020,05/31/2021,6711-15 N OLMSTED AVE,42.002427600000004,-87.81714426
338,1144351,NANDO'S PERI-PERI,03/04/2020,05/31/2021,670 W DIVERSEY PKWY,41.932883865,-87.646271752
339,1144353,NANDO'S PERI-PERI,03/04/2020,05/31/2021,949-953 W RANDOLPH ST,41.884224057,-87.65169276200001
340,1144354,VEGGIE GRILL,03/11/2020,05/31/2021,911 W RANDOLPH ST,41.884249178000005,-87.65026421200001
341,1144355,NANDO'S PERI PERI,03/04/2020,05/31/2021,1447 E 53RD ST,41.799423505,-87.589964079
342,1144357,FAT WILLY'S RIB SHACK,06/04/2020,05/31/2021,2416-22 W SCHUBERT AVE,41.930454015,-87.688580255
343,1144364,ACANTO,02/27/2020,05/31/2021,18 S MICHIGAN AVE,41.881658739,-87.624500099
344,1144365,THE GAGE,06/12/2020,05/31/2021,24 S MICHIGAN AVE,41.881514411,-87.624495596
345,1144366,BEACON TAVERN,03/05/2020,05/31/2021,405 N WABASH AVE,41.889465329000004,-87.626509274
