,PERMIT NUMBER,DOING BUSINESS AS NAME,ISSUED DATE,EXPIRATION DATE,ADDRESS,CITY,STATE,ZIP CODE,LATITUDE,LONGITUDE,LOCATION
415,1144486,EXCHEQUER RESTAURANT,06/22/2020,05/31/2021,224 - 226 S WABASH AVE,CHICAGO,,60604.0,41.878904039,-87.62625048,"(41.87890403884019, -87.62625048034315)"
416,1144494,DOS URBAN CANTINA,06/25/2020,05/31/2021,2829-2831 W ARMITAGE AVE,CHICAGO,IL,60647.0,41.917370078000005,-87.69824926,"(41.91737007807033, -87.6982492595568)"
417,1144495,POTBELLY SANDWICH WORKS LLC,11/04/2020,05/31/2021,1625 N DAMEN AVE,CHICAGO,IL,60647.0,41.911216984,-87.677333437,"(41.911216984345366, -87.67733343718919)"
418,1144500,KROLL'S SOUTH LOOP,06/04/2020,05/31/2021,1736 S MICHIGAN AVE,CHICAGO,IL,,41.85799082,-87.624082876,"(41.85799082041387, -87.62408287577486)"
419,1144502,ANTIQUE TACO,10/22/2020,05/31/2021,1360 N MILWAUKEE AVE,CHICAGO,IL,60622.0,41.906429121,-87.671514215,"(41.90642912051378, -87.67151421455068)"
420,1144504,ZIZI'S CAFE,06/23/2020,05/31/2021,2825 N SHEFFIELD AVE,CHICAGO,IL,60657.0,41.933439811999996,-87.65374004700001,"(41.933439811522284, -87.6537400474662)"
421,1144505,DUNNING POUR HOUSE,06/01/2020,05/31/2021,7718 W ADDISON ST,CHICAGO,,60634.0,41.945309465,-87.82042719399999,"(41.9453094646909, -87.82042719380131)"
422,1144506,MUNNO,06/11/2020,05/31/2021,4656 N CLARK ST,CHICAGO,IL,60640.0,41.966913741,-87.66723233100001,"(41.96691374122208, -87.66723233053568)"
423,1144507,BEAT KITCHEN,06/04/2020,05/31/2021,2100 W BELMONT AVE,CHICAGO,IL,60618.0,41.939651932,-87.680903205,"(41.93965193153802, -87.6809032053269)"
424,1144508,PUBLICAN QUALITY MEATS,07/13/2020,05/31/2021,825 W FULTON MARKET,CHICAGO,IL,60607.0,41.886677454,-87.648609812,"(41.886677453971, -87.64860981183432)"
425,1144509,DOVE'S LUNCHEONETTE,07/15/2020,05/31/2021,1543-1545 N DAMEN AVE,CHICAGO,,60622.0,41.909550137,-87.677292706,"(41.90955013711738, -87.67729270632059)"
426,1144511,THE PUBLICAN,06/15/2020,05/31/2021,837 W FULTON MARKET,CHICAGO,IL,60607.0,41.886669847,-87.64890500799999,"(41.88666984658428, -87.64890500808553)"
427,1144513,AVEC,06/24/2020,05/31/2021,615 W RANDOLPH ST,CHICAGO,IL,60661.0,41.884321041,-87.64342475299999,"(41.88432104069269, -87.64342475334716)"
428,1144514,TARANTINO'S,07/15/2020,05/31/2021,1112 W ARMITAGE AVE,CHICAGO,IL,60614.0,41.918179613,-87.65585983700001,"(41.91817961305914, -87.65585983747225)"
429,1144517,THE FIFTY / 50,06/09/2020,05/31/2021,2047 W DIVISION ST,CHICAGO,IL,60622.0,41.903046998,-87.67911932700001,"(41.90304699799323, -87.67911932717314)"
430,1144521,TAPAS VALENCIA,06/02/2020,05/31/2021,1530 S STATE ST,CHICAGO,IL,60605.0,41.86101824,-87.6274171,"(41.861018239854175, -87.62741709999585)"
431,1144522,Silli Kori,06/09/2020,05/31/2021,2053 W DIVISION ST,CHICAGO,IL,60622.0,41.903042737,-87.679346686,"(41.90304273718245, -87.67934668623805)"
432,1144524,THOMPSON CHICAGO HOTEL,06/19/2020,05/31/2021,21 E BELLEVUE PL,CHICAGO,,60611.0,41.90146137,-87.627514619,"(41.90146137010766, -87.62751461949168)"
433,1144525,TATAS TACOS,07/08/2020,05/31/2021,4929 W IRVING PARK RD,CHICAGO,,60641.0,41.953263831,-87.751091996,"(41.953263831201625, -87.7510919961523)"
434,1144526,NOODLES & COMPANY #673,07/08/2020,05/31/2021,1100 S CANAL ST,CHICAGO,IL,60607.0,41.86888416,-87.63939254,"(41.86888416001797, -87.63939254027898)"
435,1144527,The Budlong Hot Chicken,06/05/2020,05/31/2021,4619 N WESTERN AVE,CHICAGO,IL,60625.0,41.965499109,-87.68866018700001,"(41.9654991094368, -87.68866018713253)"
