permit_number,business_name,issued_date,expiration_date,address,latitude,longitude
1049308,MYSTIC CELT,2006-03-29T00:00:00.000,2006-12-01T00:00:00.000,3443 N SOUTHPORT AVE,41.944695439,-87.66380542899999
1049304,Chipotle Mexican Grill,2006-03-24T00:00:00.000,2006-12-01T00:00:00.000,1025 W BELMONT AVE,41.939786501,-87.655039264
1049300,QUARTINO,2006-03-17T00:00:00.000,2006-12-01T00:00:00.000,626 N STATE ST,41.893235481,-87.62826505299999
1049299,LUXBAR,2006-03-17T00:00:00.000,2006-12-01T00:00:00.000,18-20 E BELLEVUE PL,41.901679928,-87.62758040700001
1049298,PORTILLO'S HOT DOGS,2006-03-24T00:00:00.000,2006-12-01T00:00:00.000,100 W ONTARIO ST,41.893337736999996,-87.63124449600001
1049297,ROCKWELL'S NEIGHBORHOOD GRILL,2006-03-09T00:00:00.000,2006-12-01T00:00:00.000,4632 N ROCKWELL ST,41.965806127,-87.69386749200001
1049294,GIDEON WELLES,2006-04-20T00:00:00.000,2006-12-01T00:00:00.000,4500 N LINCOLN AVE,41.963228402,-87.685190443
1049292,STANDING ROOM ONLY CHICAGO,2006-03-08T00:00:00.000,2006-12-01T00:00:00.000,610 S DEARBORN ST,41.87432705,-87.62935648
1049288,WOODIE'S FLAT,2006-03-13T00:00:00.000,2006-12-01T00:00:00.000,1535 N WELLS ST,41.910189525,-87.634533167
1049286,BROWNSTONE TAVERN & GRILL,2006-03-27T00:00:00.000,2006-12-01T00:00:00.000,3937 N LINCOLN AVE,41.953389926999996,-87.67805669399999
1049284,CLEVER RABBIT,2006-08-18T00:00:00.000,2006-12-01T00:00:00.000,2015 W DIVISION ST,41.903069678,-87.677906757
1049283,LA CUCINA DI DONATELLA,2006-03-09T00:00:00.000,2006-12-01T00:00:00.000,2221 W HOWARD ST,42.019388501,-87.685543813
1049277,SOLA RESTAURANT,2006-03-13T00:00:00.000,2006-12-01T00:00:00.000,3868 N LINCOLN AVE,41.952253879000004,-87.677595023
1049275,THE GRIND CAFE,2006-03-29T00:00:00.000,2006-12-01T00:00:00.000,4613 N LINCOLN AVE,41.965328383,-87.686228363
1049273,LA BOCCA,2006-04-19T00:00:00.000,2006-12-01T00:00:00.000,4618 N LINCOLN AVE,41.965360378,-87.68657717200001
1049238,R PUBLIC HOUSE,2006-07-06T00:00:00.000,2006-12-01T00:00:00.000,1508 W JARVIS AVE,42.01615267,-87.66856404299999
1049234,MERLE'S COFFEE SHOPPE,2006-05-25T00:00:00.000,2006-12-01T00:00:00.000,4642 N FRANCISCO AVE,41.965968696,-87.70120491600001
1049231,TAVERN ON RUSH,2006-03-13T00:00:00.000,2006-12-01T00:00:00.000,1031 N RUSH ST,41.901642657,-87.627773404
1049226,KITSCH'N ON ROSCOE,2006-03-09T00:00:00.000,2006-12-01T00:00:00.000,2005 W ROSCOE ST,41.943104564,-87.678678852
1049223,TUMANS,2006-03-09T00:00:00.000,2006-12-01T00:00:00.000,2159 W CHICAGO AVE,41.89571957,-87.68182312
1049222,MAC'S AMERICAN FOOD,2006-03-09T00:00:00.000,2006-12-01T00:00:00.000,1801 W DIVISION ST,41.903156154,-87.67242231899999
1049210,PAPA JIN,2006-03-17T00:00:00.000,2006-12-01T00:00:00.000,1551 N MILWAUKEE AVE,41.909780817,-87.676307236
1049207,Pasta D'Arte,2006-03-29T00:00:00.000,2006-12-01T00:00:00.000,6311 N MILWAUKEE AVE,41.99549377,-87.78593949799999
1049197,LIPS,2006-04-17T00:00:00.000,2006-12-01T00:00:00.000,3705 N SOUTHPORT AVE,41.949091556,-87.663926244
1049194,TOON'S BAR & GRILL,2006-05-05T00:00:00.000,2006-12-01T00:00:00.000,3857 N SOUTHPORT AVE,41.952401641,-87.664018273
1049192,FAT WILLY'S RIB SHACK,2006-04-06T00:00:00.000,2006-12-01T00:00:00.000,2416 W SCHUBERT AVE,41.930454015,-87.688580255
1049191,PANCHO PISTOLAS MEXICAN RESTAURANT,2006-03-24T00:00:00.000,2006-12-01T00:00:00.000,700 W 31ST ST,41.838185285,-87.643912017
1049188,BICE GRILL,2006-04-04T00:00:00.000,2006-12-01T00:00:00.000,154 E ONTARIO ST,41.893461565,-87.62327823
1049185,MEDI,2006-04-04T00:00:00.000,2006-12-01T00:00:00.000,158 E ONTARIO ST,41.893465516,-87.62308621
1049181,RENALDI'S PIZZA,2006-04-19T00:00:00.000,2006-12-01T00:00:00.000,2827 N BROADWAY,41.933535705,-87.644542927
1049178,NABOS,2006-04-07T00:00:00.000,2006-12-01T00:00:00.000,3351 N BROADWAY,41.943340055,-87.64466387
1049177,YOSHI'S CAFE,2006-03-02T00:00:00.000,2006-12-01T00:00:00.000,3257 N HALSTED ST,41.941696341,-87.64917656600001
1049173,SCHOOLYARD TAVERN & GRILL,2006-03-23T00:00:00.000,2006-12-01T00:00:00.000,3258 N SOUTHPORT AVE,41.941539456,-87.66401205700001
1049157,BASIL LEAF CAFE,2006-04-11T00:00:00.000,2006-12-01T00:00:00.000,2460 N CLARK ST,41.927066755,-87.641529678
1049155,JUNIOR'S SPORTS LOUNGE,2006-03-15T00:00:00.000,2006-12-01T00:00:00.000,724 W MAXWELL ST,41.864903826,-87.64605899
1049148,VIET FOOD COURT,2006-05-19T00:00:00.000,2006-12-01T00:00:00.000,4941 N BROADWAY,41.972706887,-87.659621605
1049145,ESSENCE OF INDIA,2006-03-31T00:00:00.000,2006-12-01T00:00:00.000,4601 N LINCOLN AVE,41.964997093,-87.686013819
1049143,JAMBA JUICE COMPANY,2006-04-04T00:00:00.000,2006-12-01T00:00:00.000,1571 N SHEFFIELD AVE,41.910545763,-87.652950855
1049140,Cans Bar and Canteen,2006-03-23T00:00:00.000,2006-12-01T00:00:00.000,1640 N DAMEN AVE,41.911726097,-87.677639844
1049138,SALUD TEQUILA LOUNGE,2006-03-09T00:00:00.000,2006-12-01T00:00:00.000,1471 N MILWAUKEE AVE,41.908726094,-87.674660839
1049132,TARANTINO'S,2006-05-02T00:00:00.000,2006-12-01T00:00:00.000,1112 W ARMITAGE AVE,41.918179613,-87.65585983700001
1049096,EINSTEIN BROS. BAGELS #1242,2006-03-22T00:00:00.000,2006-12-01T00:00:00.000,44 E WALTON ST,41.900076949,-87.626609538
1049093,POTBELLY SANDWICH WORKS LLC,2009-04-06T00:00:00.000,2009-12-01T00:00:00.000,175 W JACKSON BLVD,41.878014487,-87.63318903
1049088,ZEPHYR ICE CREAM SHOP,2006-03-09T00:00:00.000,2006-12-01T00:00:00.000,1767 W WILSON AVE,41.965067485,-87.67358197600001
1049083,JANIK'S CAFE,2006-03-16T00:00:00.000,2006-12-01T00:00:00.000,2011 W DIVISION ST,41.903072506,-87.67775518399999
1049079,TGI FRIDAY'S,2006-03-24T00:00:00.000,2006-12-01T00:00:00.000,153 E ERIE ST,41.894042358,-87.623385155
1049078,CAFE PRAGUE,2006-05-10T00:00:00.000,2006-12-01T00:00:00.000,6710-12 W BELMONT AVE,41.938301331999995,-87.793740718
1049075,"KOPI, A TRAVELER'S CAFE",2006-04-11T00:00:00.000,2006-12-01T00:00:00.000,5317 N CLARK ST,41.978607404,-87.668176411
1049071,MAGGIANO'S LITTLE ITALY,2006-04-06T00:00:00.000,2006-12-01T00:00:00.000,516 N CLARK ST,41.891439309,-87.63126818200001
1049069,JAMBA JUICE #628,2006-04-04T00:00:00.000,2006-12-01T00:00:00.000,190 W MADISON ST,41.882057595,-87.633533266
1049068,JAMBA JUICE #630,2006-04-04T00:00:00.000,2006-12-01T00:00:00.000,20 N MICHIGAN AVE,41.882540202,-87.624530945
1049042,JAMBA JUICE  #343,2006-04-04T00:00:00.000,2006-12-01T00:00:00.000,166 N STATE ST,41.885027003000005,-87.628070206
1049039,"THAI ""LINDA"" CAFE'",2006-03-15T00:00:00.000,2006-12-01T00:00:00.000,2022 W ROSCOE ST,41.943316390999996,-87.679433195
1049037,SLUGGERS GRILL,2006-04-04T00:00:00.000,2006-12-01T00:00:00.000,3540 N CLARK ST,41.946576955,-87.65618754100001
1049033,TUTTO ITALIANO,2006-05-04T00:00:00.000,2006-12-01T00:00:00.000,501 S WELLS ST,41.875537195,-87.633510218
1049031,COFFEE CHICAGO,2006-05-02T00:00:00.000,2006-12-01T00:00:00.000,5256 N BROADWAY,41.977994211,-87.660061201
1048999,FRASCA,2006-06-16T00:00:00.000,2006-12-01T00:00:00.000,3356-3358 N PAULINA ST,41.943192473,-87.67133728
